timestamp;Volumetic_water_content;Soil_temperature;Electrical_conductivity
 2023-06-11 08:04:09; 0.348; 10.100; 122.000
 2023-06-11 08:14:10; 0.348; 10.100; 122.000
 2023-06-11 08:24:04; 0.348; 10.100; 122.000
 2023-06-11 08:34:02; 0.348; 10.100; 122.000
 2023-06-11 08:44:09; 0.349; 10.100; 122.000
 2023-06-11 08:54:05; 0.349; 10.100; 122.000
 2023-06-11 09:04:09; 0.348; 10.100; 122.000
 2023-06-11 09:14:07; 0.348; 10.100; 122.000
 2023-06-11 09:24:08; 0.349; 10.100; 122.000
 2023-06-11 09:34:09; 0.348; 10.100; 122.000
 2023-06-11 09:44:05; 0.349; 10.100; 122.000
 2023-06-11 09:54:05; 0.348; 10.100; 122.000
 2023-06-11 10:04:02; 0.349; 10.100; 122.000
 2023-06-11 10:14:09; 0.349; 10.100; 122.000
 2023-06-11 10:24:09; 0.348; 10.100; 122.000
 2023-06-11 10:34:10; 0.348; 10.100; 122.000
 2023-06-11 10:44:07; 0.348; 10.100; 122.000
 2023-06-11 10:54:10; 0.348; 10.100; 122.000
 2023-06-11 11:04:03; 0.348; 10.100; 122.000
 2023-06-11 11:14:10; 0.349; 10.100; 122.000
 2023-06-11 11:24:03; 0.349; 10.100; 123.000
 2023-06-11 11:34:09; 0.349; 10.100; 122.000
 2023-06-11 11:44:06; 0.348; 10.100; 122.000
 2023-06-11 11:54:08; 0.348; 10.100; 122.000
 2023-06-11 12:04:09; 0.348; 10.200; 122.000
 2023-06-11 12:14:06; 0.348; 10.200; 122.000
 2023-06-11 12:24:03; 0.348; 10.200; 122.000
 2023-06-11 12:34:06; 0.349; 10.200; 122.000
 2023-06-11 12:44:09; 0.349; 10.200; 122.000
 2023-06-11 12:54:09; 0.349; 10.200; 122.000
 2023-06-11 13:04:07; 0.348; 10.200; 122.000
 2023-06-11 13:14:10; 0.348; 10.200; 122.000
 2023-06-11 13:24:03; 0.348; 10.300; 122.000
 2023-06-11 13:34:07; 0.349; 10.300; 122.000
 2023-06-11 13:44:09; 0.348; 10.300; 122.000
 2023-06-11 13:54:03; 0.348; 10.300; 122.000
 2023-06-11 14:04:05; 0.348; 10.300; 122.000
 2023-06-11 14:14:03; 0.348; 10.300; 122.000
 2023-06-11 14:24:10; 0.348; 10.400; 122.000
 2023-06-11 14:34:08; 0.348; 10.400; 122.000
 2023-06-11 14:44:03; 0.348; 10.400; 122.000
 2023-06-11 14:54:02; 0.347; 10.400; 122.000
 2023-06-11 15:04:09; 0.348; 10.400; 122.000
 2023-06-11 15:14:05; 0.348; 10.500; 121.000
 2023-06-11 15:24:06; 0.347; 10.500; 122.000
 2023-06-11 15:34:04; 0.347; 10.500; 122.000
 2023-06-11 15:44:04; 0.348; 10.500; 122.000
 2023-06-11 15:54:08; 0.347; 10.600; 122.000
 2023-06-11 16:14:09; 0.347; 10.600; 122.000
 2023-06-11 16:24:09; 0.347; 10.600; 122.000
 2023-06-11 16:34:02; 0.348; 10.700; 122.000
 2023-06-11 16:44:04; 0.347; 10.700; 122.000
 2023-06-11 16:54:05; 0.348; 10.700; 122.000
 2023-06-11 17:04:02; 0.347; 10.700; 122.000
 2023-06-11 17:14:05; 0.347; 10.800; 122.000
 2023-06-11 17:24:07; 0.348; 10.800; 121.000
 2023-06-11 17:34:05; 0.347; 10.800; 122.000
 2023-06-11 17:44:07; 0.347; 10.800; 121.000
 2023-06-11 17:54:02; 0.348; 10.800; 122.000
 2023-06-11 18:04:09; 0.347; 10.900; 121.000
 2023-06-11 18:14:06; 0.347; 10.900; 121.000
 2023-06-11 18:24:08; 0.347; 10.900; 121.000
 2023-06-11 18:34:08; 0.347; 10.900; 122.000
 2023-06-11 18:44:05; 0.347; 10.900; 121.000
 2023-06-11 18:54:05; 0.346; 11.000; 122.000
 2023-06-11 19:04:03; 0.346; 11.000; 122.000
 2023-06-11 19:14:06; 0.348; 11.000; 122.000
 2023-06-11 19:24:04; 0.347; 11.000; 122.000
 2023-06-11 19:34:10; 0.347; 11.100; 122.000
 2023-06-11 19:44:07; 0.346; 11.100; 121.000
 2023-06-11 19:54:07; 0.347; 11.100; 122.000
 2023-06-11 20:04:02; 0.346; 11.100; 121.000
